,BIZD,IWM,XLF,HYG,TLT,^VIX,VIX_Change,IWM_Change,XLF_Change,HYG,HY_OAS_Change,High_Vol_Regime,Stress_Period,Wide_Spread_Regime,XLF_Change_HighVol,IWM_Change_HighVol,HYG_HighVol,XLF_Change_Stress,IWM_Change_Stress,HYG_Stress,XLF_WideCred,HYG_WideCred,Credit_Market_Stress,Rate_Credit_Stress
2022-04-29,-0.021823207313897582,-0.02930404882361289,-0.03502158061451601,-0.012402445549947096,-0.013057718814095284,0.10769196053867162,0.10769196053867162,-0.02930404882361289,-0.03502158061451601,-0.012402445549947096,0.1299999999999999,1,0,0,-0.03502158061451601,-0.02930404882361289,-0.012402445549947096,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2022-05-02,-0.018658523569887092,0.010434544436243693,0.0002902519047289079,6.427044453386772e-05,-0.017486001035468525,-0.03225108680044981,-0.03225108680044981,0.010434544436243693,0.0002902519047289079,6.427044453386772e-05,0.16999999999999993,1,0,0,0.0002902519047289079,0.010434544436243693,6.427044453386772e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2022-05-03,0.022229842296583847,0.008524818210472669,0.012951508568505098,0.005227119426182778,0.006719154482660104,-0.1004252851893356,-0.1004252851893356,0.008524818210472669,0.012951508568505098,0.005227119426182778,-0.08000000000000007,1,0,0,0.012951508568505098,0.008524818210472669,0.005227119426182778,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2022-05-04,0.019418136186827827,0.026336035173716077,0.03013889263204592,0.010121662991132171,0.005494928623119697,-0.14034330491522218,-0.14034330491522218,0.026336035173716077,0.03013889263204592,0.010121662991132171,0.03000000000000025,1,1,0,0.03013889263204592,0.026336035173716077,0.010121662991132171,0.03013889263204592,0.026336035173716077,0.010121662991132171,0.0,0.0,0.00026656447255095714,0.00016484785869359228
2022-05-05,-0.02717235088323041,-0.04141017648505614,-0.02956702732875324,-0.017909110970530735,-0.027780777962813176,0.20488185050598062,0.20488185050598062,-0.04141017648505614,-0.02956702732875324,-0.017909110970530735,0.05999999999999961,1,1,0,-0.02956702732875324,-0.04141017648505614,-0.017909110970530735,-0.02956702732875324,-0.04141017648505614,-0.017909110970530735,-0.0,-0.0,0.0007416194459801328,-0.0016668466777687797
2022-05-06,0.005970109897354463,-0.016782230130560533,-0.007170653674880933,-0.005654606010683288,-0.014845156443237603,-0.032907357859992,-0.032907357859992,-0.016782230130560533,-0.007170653674880933,-0.005654606010683288,0.17000000000000082,1,0,0,-0.007170653674880933,-0.016782230130560533,-0.005654606010683288,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2022-05-09,-0.03822125409244193,-0.042974393612859624,-0.024181880308693636,-0.010624425458590351,0.008759275592615464,0.14066881060216926,0.14066881060216926,-0.042974393612859624,-0.024181880308693636,-0.010624425458590351,0.22999999999999954,1,1,0,-0.024181880308693636,-0.042974393612859624,-0.010624425458590351,-0.024181880308693636,-0.042974393612859624,-0.010624425458590351,-0.0,-0.0,0.0004565782415679484,0.002014633386301553
2022-05-10,0.014733174018556923,0.00028594715371575415,-0.008886294264252746,0.00571483097208894,0.00902828364133383,-0.05197503589226457,-0.05197503589226457,0.00028594715371575415,-0.008886294264252746,0.00571483097208894,-0.019999999999999574,1,0,0,-0.008886294264252746,0.00028594715371575415,0.00571483097208894,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
2022-05-11,-0.011645745892342425,-0.02517854865092665,-0.00926634255961188,-0.005975187192892106,0.019089096333438027,-0.01311995280695535,-0.01311995280695535,-0.02517854865092665,-0.00926634255961188,-0.005975187192892106,0.009999999999999787,1,0,0,-0.00926634255961188,-0.02517854865092665,-0.005975187192892106,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2022-05-12,-0.024970013732789613,0.011655102878999044,-0.007535702442570557,-0.0003910131721393564,-0.001866951146238463,-0.024562120621479416,-0.024562120621479416,0.011655102878999044,-0.007535702442570557,-0.0003910131721393564,0.1200000000000001,1,0,0,-0.007535702442570557,0.011655102878999044,-0.0003910131721393564,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2022-05-13,0.02002559250363046,0.03120007957106396,0.014418925106204595,0.0011721127582340913,-0.014891224593562038,-0.09571943994586465,-0.09571943994586465,0.03120007957106396,0.014418925106204595,0.0011721127582340913,-0.040000000000000036,1,0,0,0.014418925106204595,0.03120007957106396,0.0011721127582340913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,0.011703296959876156,-0.004784889544348898,-0.008385839172875848,-0.0014331076991573486,-0.001035115745935419,-0.04970854763325103,-0.04970854763325103,-0.004784889544348898,-0.008385839172875848,-0.0014331076991573486,0.009999999999999787,1,0,0,-0.008385839172875848,-0.004784889544348898,-0.0014331076991573486,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2022-05-17,0.009143611448127836,0.030125119468578217,0.02641489509764182,-0.0009131975027548934,-0.012157224146144186,-0.051159146166640086,-0.051159146166640086,0.030125119468578217,0.02641489509764182,-0.0009131975027548934,0.0,1,0,0,0.02641489509764182,0.030125119468578217,-0.0009131975027548934,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
