Date,NAV,Cash_NAV,Gold_NAV,Apple_NAV,JnJ_NAV,PG_NAV,EM_NAV,Private Credit_NAV,TIPS ETF_NAV,10Y Bond_NAV,SPX ATM Call_NAV,Inflation Swap_NAV,Convertible Bond_NAV
2019-02-25,1201082.0703311516,173954.01273191097,168066.15855317697,29418.400279724123,40313.92141769105,63330.27871891861,123852.5272304161,124152.55697482529,113551.6291398178,106272.19896734042,0.0,132478.8709978276,125691.51531950267
2019-02-26,1201449.0120207001,173971.05872197647,168274.4112750077,29475.40604718634,40292.72541392033,63472.47297972047,123625.53273480345,124124.58071580934,113665.4709672573,106278.72774562454,0.0,132673.94553880498,125594.67988058938
2019-02-27,1199834.7475566354,173988.1063824017,167186.4645895917,29532.106404353217,40224.27726516152,63056.8685941775,123322.8574007321,124317.39717289155,113546.39260290028,106100.49476043985,0.0,133041.67419533987,125518.1081886462
2019-02-28,1198069.4802183174,174005.1557133503,166415.5737044831,29317.474486290863,40432.04253129811,63047.70672834325,122318.91454520871,124234.67175394959,113477.84549698533,105995.82045970089,0.0,133464.47647695744,125359.7983217497
2019-03-01,1196931.8791826055,174022.20671498604,164035.9277234847,29597.895326662794,40937.46861669444,62938.0351328294,122515.19557204218,124527.84312010242,113404.26476276253,105954.74054564153,0.0,133848.14205789828,125150.15960950115
2019-03-02,1195533.4189172569,174039.2593874726,161690.30929693225,29880.998384691356,41449.21284759631,62828.5543112467,122711.79156440358,124821.70631767975,113330.73173938958,105913.67655258106,0.0,133779.68100402626,125087.49751123755
2019-03-03,1194199.4826613357,174056.3137309737,159378.23185057443,30166.80931571496,41967.354204815725,62719.26393174357,122908.70302770744,125116.26297927868,113257.24639593007,105872.62847434911,0.0,133630.7630412762,125125.90570897167
2019-03-04,1193141.7990527803,174073.3697456531,158606.5020725191,30238.564008030662,41970.67388416531,62885.53261129776,122886.30128321446,124895.34733491858,113284.65613902248,106034.0909122083,0.0,133169.55076108075,125097.2103006699
2019-03-05,1192730.7193188705,174090.42743167453,158733.50382460735,30172.765646761647,42059.257451306505,62973.02348892216,122976.2080434579,124734.52858663288,113188.35270294445,106134.75843940637,0.0,132632.48558301447,125035.40812014225
2019-03-06,1191091.9943609256,174107.4867892018,158547.59294294778,30015.077343834717,42112.00916153271,62903.99663696507,122859.06583653521,124213.29022536598,113206.06163001183,106124.92717300054,0.0,132086.23126234466,124916.25535918542
2019-03-07,1187898.7870249986,174124.54781839869,158391.27070567035,29678.093935946727,41862.389074148305,62612.14482194154,121401.77901097393,123741.05437252417,113390.78968595379,106166.82694615371,0.0,131760.538386205,124769.3522670823
2019-03-08,1187676.6788795404,174141.610519429,159852.31989907945,29740.70652556108,41819.89744113155,62583.909630217764,120251.54807413756,123539.57369297373,113418.46459349485,106159.56261815468,0.0,131537.06940200843,124632.01648335232
2019-03-09,1188090.313768214,174158.6748924566,161326.84625405213,29803.451210463852,41777.44893845007,62555.68717126419,119112.21509298879,123338.42107321265,113446.14625555724,106152.29878720791,0.0,131667.49778259668,124751.62630996399
2019-03-10,1188577.7105211434,174175.74093764529,162814.97408802042,29866.328269339658,41735.043522325235,62527.477439338916,117983.67681396836,123137.59597907941,113473.8346737895,106145.03545327939,0.0,131708.0138474386,125009.98949691853
2019-03-11,1192671.2782459122,174192.80865515894,162255.9390908738,30796.990633820664,41919.1396639228,63308.301914181146,119325.63641178976,123728.89277656034,113436.59632398581,106222.8205132357,0.0,132055.67370120974,125428.47856117363
2019-03-12,1196885.7385787708,174209.8780451614,163236.4818323441,31111.9980994893,42123.71353070191,63517.19897457318,120452.43994076991,124083.52109031312,113507.27851413381,106284.66095546988,0.0,132541.4781173788,125817.08947843533
2019-03-13,1200304.935547124,174226.9491078166,164139.1998062705,31288.47026859499,42235.42454601195,64126.846487828094,120496.72298532075,124554.31561735165,113581.36487275663,106276.27182112912,0.0,133017.38462790698,126361.98540613659
